Name,Date,Price_day,Price_month
1101 台泥,2021/6/10,51.1752 ,51.0633 
1101 台泥,2021/6/9,51.0067 ,51.1200 
1101 台泥,2021/6/8,51.3470 ,51.1667 
1101 台泥,2021/6/7,51.4186 ,51.2233 
1101 台泥,2021/6/4,51.9158 ,51.2733 
1101 台泥,2021/6/3,52.0568 ,51.3467 
1101 台泥,2021/6/2,51.6827 ,51.4600 
1101 台泥,2021/6/1,51.4033 ,51.4600 
1101 台泥,2021/5/31,51.2710 ,51.4233 
1101 台泥,2021/5/28,50.4506 ,51.3367 
1101 台泥,2021/5/27,50.1082 ,51.2467 
1101 台泥,2021/5/26,50.9023 ,51.1367 
1101 台泥,2021/5/25,51.2275 ,51.0200 
1101 台泥,2021/5/24,51.0941 ,50.8783 
1101 台泥,2021/5/21,51.8753 ,50.7250 
1101 台泥,2021/5/20,50.7310 ,50.5817 
1101 台泥,2021/5/19,50.2500 ,50.4483 
1101 台泥,2021/5/18,49.5424 ,50.3267 
1101 台泥,2021/5/17,48.0920 ,50.2167 
1101 台泥,2021/5/14,49.7253 ,50.1800 
1101 台泥,2021/5/13,48.8691 ,50.0783 
1101 台泥,2021/5/12,49.5105 ,49.9883 
1101 台泥,2021/5/11,52.1513 ,49.8733 
1101 台泥,2021/5/10,52.7113 ,49.6717 
1101 台泥,2021/5/7,52.2603 ,49.4267 
1101 台泥,2021/5/6,51.7447 ,49.2067 
1101 台泥,2021/5/5,50.2931 ,48.9667 
1101 台泥,2021/5/4,50.4470 ,48.6967 
1101 台泥,2021/5/3,51.3181 ,48.4600 
1101 台泥,2021/4/29,52.4108 ,48.1817 
1101 台泥,2021/4/28,52.5292 ,47.8650 
1101 台泥,2021/4/27,52.7000 ,47.5033 
1101 台泥,2021/4/26,53.2196 ,47.1700 
1101 台泥,2021/4/23,52.5710 ,46.8283 
1101 台泥,2021/4/22,56.6314 ,46.4950 
1101 台泥,2021/4/21,54.3811 ,46.1383 
1101 台泥,2021/4/20,52.5260 ,45.7033 
1101 台泥,2021/4/19,50.0463 ,45.3867 
1101 台泥,2021/4/16,48.4421 ,45.1233 
1101 台泥,2021/4/15,47.9493 ,44.9083 
1101 台泥,2021/4/14,46.9539 ,44.7150 
1101 台泥,2021/4/13,47.2376 ,44.5483 
1101 台泥,2021/4/12,46.7978 ,44.4050 
1101 台泥,2021/4/9,46.8348 ,44.2617 
1101 台泥,2021/4/8,46.7851 ,44.1200 
1101 台泥,2021/4/7,46.7871 ,43.9500 
1101 台泥,2021/4/6,46.8075 ,43.7767 
1101 台泥,2021/4/1,46.7151 ,43.5933 
1101 台泥,2021/3/31,46.7239 ,43.4117 
