Name,Date,Price_day,Price_month
0050 大盤,2021/6/10,137.0846,134.765
0050 大盤,2021/6/9,135.4387,134.8583
0050 大盤,2021/6/8,136.8752,135.05
0050 大盤,2021/6/7,136.6904,135.2067
0050 大盤,2021/6/4,136.6247,135.2683
0050 大盤,2021/6/3,137.9479,135.3
0050 大盤,2021/6/2,137.3479,135.3133
0050 大盤,2021/6/1,137.6528,135.365
0050 大盤,2021/5/31,136.8703,135.425
0050 大盤,2021/5/28,135.3312,135.4967
0050 大盤,2021/5/27,133.055,135.605
0050 大盤,2021/5/26,134.5304,135.75
0050 大盤,2021/5/25,132.4971,135.8383
0050 大盤,2021/5/24,131.7752,135.93
0050 大盤,2021/5/21,132.5265,136.1233
0050 大盤,2021/5/20,130.3441,136.32
0050 大盤,2021/5/19,131.5421,136.5633
0050 大盤,2021/5/18,130.5052,136.7717
0050 大盤,2021/5/17,126.483,136.8867
0050 大盤,2021/5/14,128.894,137.1617
0050 大盤,2021/5/13,128.0787,137.3933
0050 大盤,2021/5/12,128.1419,137.6583
0050 大盤,2021/5/11,134.1433,137.8233
0050 大盤,2021/5/10,138.5646,137.78
0050 大盤,2021/5/7,138.9189,137.5483
0050 大盤,2021/5/6,136.5064,137.355
0050 大盤,2021/5/5,136.6312,137.2367
0050 大盤,2021/5/4,136.902,137.1383
0050 大盤,2021/5/3,138.6339,137.0667
0050 大盤,2021/4/29,141.3986,136.9317
0050 大盤,2021/4/28,140.5904,136.7567
0050 大盤,2021/4/27,141.2898,136.5733
0050 大盤,2021/4/26,140.5889,136.3733
0050 大盤,2021/4/23,138.5267,136.1567
0050 大盤,2021/4/22,138.3091,135.915
0050 大盤,2021/4/21,138.2348,135.6967
0050 大盤,2021/4/20,139.1851,135.4917
0050 大盤,2021/4/19,139.2956,135.2483
0050 大盤,2021/4/16,138.8638,135.0233
0050 大盤,2021/4/15,138.4622,134.895
0050 大盤,2021/4/14,137.0038,134.7083
0050 大盤,2021/4/13,138.0701,134.5583
0050 大盤,2021/4/12,137.3586,134.5717
0050 大盤,2021/4/9,138.1201,134.5483
0050 大盤,2021/4/8,137.7349,134.5667
0050 大盤,2021/4/7,137.6221,134.585
0050 大盤,2021/4/6,137.8496,134.62
0050 大盤,2021/4/1,135.8276,134.71
0050 大盤,2021/3/31,135.0304,134.87
0050 大盤,2021/3/30,135.6268,134.8717
0050 大盤,2021/3/29,135.5488,134.7933
0050 大盤,2021/3/26,133.744,134.7567
0050 大盤,2021/3/25,131.4042,134.76
0050 大盤,2021/3/24,131.7286,134.72
0050 大盤,2021/3/23,134.1029,134.61
0050 大盤,2021/3/22,132.8093,134.5017
0050 大盤,2021/3/19,132.7626,134.49
0050 大盤,2021/3/18,135.419,134.4917
0050 大盤,2021/3/17,134.611,134.515
0050 大盤,2021/3/16,135.2204,134.6233
0050 大盤,2021/3/15,134.8551,134.7767
0050 大盤,2021/3/12,135.1092,134.7884
0050 大盤,2021/3/11,134.1601,134.7803
0050 大盤,2021/3/10,131.9417,134.6748
0050 大盤,2021/3/9,130.654,134.6658
0050 大盤,2021/3/8,132.5339,134.6605
0050 大盤,2021/3/5,130.953,134.6793
0050 大盤,2021/3/4,132.7244,134.5904
0050 大盤,2021/3/3,134.2889,134.4813
0050 大盤,2021/3/2,134.676,134.2481
